# T	C4/C2	X4/X2 - 3*X2
0.1	-nan	-nan
0.2	-nan	-nan
0.3	-nan	-nan
0.4	-nan	-nan
0.5	9.54234e-06	9.54115e-06
0.6	7.31924e-06	7.29956e-06
0.7	7.63303e-06	7.47608e-06
0.8	8.38934e-06	7.77153e-06
0.9	1.01752e-05	8.11823e-06
1	1.52274e-05	9.92693e-06
1.1	2.23462e-05	1.07602e-05
1.2	3.88616e-05	1.553e-05
1.3	6.21939e-05	1.8086e-05
1.4	0.000119544	3.99155e-05
1.5	0.0001926	5.58173e-05
1.6	0.000311334	8.31933e-05
1.7	0.000557479	0.000164096
1.8	0.00107898	0.000392055
1.9	0.00192805	0.000701764
2	0.0039776	0.00152646
2.05	0.00671965	0.00309024
2.1	0.0125693	0.0065731
2.15	0.0289872	0.0170971
2.2	0.37209	0.323365
2.25	0.581682	-0.977548
2.3	0.491663	-0.600082
2.35	0.401143	-0.340355
2.4	0.303515	-0.172639
2.45	0.220779	-0.0807212
2.5	0.170648	-0.0397684
2.55	0.131689	-0.018031
2.6	0.107937	-0.00677708
2.65	0.0874865	-0.0063994
2.75	0.0669112	-0.00279244
2.85	0.050667	-0.0019337
2.95	0.0421931	-0.000602506
3.05	0.0349673	-0.000632523
3.15	0.0296435	-0.000542933
3.25	0.026082	-0.000410573
3.35	0.02361	-0.000346446
3.45	0.0209586	-0.000319915
3.55	0.0194909	-9.90657e-05
3.65	0.0177376	-0.000227832
3.75	0.0167357	-4.55768e-05
3.85	0.0153379	-0.000284817
3.95	0.0144823	-0.000101475
4.05	0.0137888	-0.00029608
4.15	0.0132207	-1.62005e-05
4.25	0.0126785	5.736e-05
4.35	0.0120286	-3.90674e-05
4.45	0.0113644	-0.000208574
4.55	0.0108555	-0.000119495
4.65	0.010616	-3.62075e-05
4.75	0.0102917	2.17808e-05
4.85	0.00981499	-8.03947e-05
4.95	0.00972108	2.39339e-05
